pattern,transformation,instances,consistency,confidence
DEP-REL-CHG::case→nsubj:pass::None::None::None::None,nsubj:pass,51,1.0,1.0
DEP-REL-CHG::case→nsubj:pass::None::None::None::None::None::None::None::None::None::None,nsubj:pass,51,1.0,1.0
DEP-REL-CHG::obj→aux::None::None::None::None,aux,51,1.0,1.0
DEP-REL-CHG::obj→aux::None::None::None::None::None::None::None::None::None::None,aux,51,1.0,1.0
DEP-REL-CHG::nmod→compound::None::None::None::None,compound,51,1.0,1.0
DEP-REL-CHG::nmod→compound::None::None::None::None::None::None::None::None::None::None,compound,51,1.0,1.0
DEP-REL-CHG::case→punct::None::None::None::None,punct,51,1.0,1.0
DEP-REL-CHG::case→punct::None::None::None::None::None::None::None::None::None::None,punct,51,1.0,1.0
TED-RTED::10→10::None::None::None::None,10,51,1.0,1.0
TED-RTED::10→10::None::None::None::None::None::None::None::None::None::None,10,51,1.0,1.0
LENGTH-CHG::10→14::None::None::None,14,50,1.0,1.0
TED-RTED::16→16::None::None::None::None,16,50,1.0,1.0
TED-RTED::16→16::None::None::None::None::None::None::None::None::None::None,16,50,1.0,1.0
CONST-REM::ABSENT→ADJP-REM::None::None::None,ADJP-REM,50,1.0,1.0
TED-ZHANG-SHASHA::11→11::None::None::None::None,11,50,1.0,1.0
TED-ZHANG-SHASHA::11→11::None::None::None::None::None::None::None::None::None::None,11,50,1.0,1.0
TED-ZHANG-SHASHA::15→15::None::None::None::None,15,50,1.0,1.0
TED-ZHANG-SHASHA::15→15::None::None::None::None::None::None::None::None::None::None,15,50,1.0,1.0
TED-RTED::15→15::None::None::None::None,15,50,1.0,1.0
TED-RTED::15→15::None::None::None::None::None::None::None::None::None::None,15,50,1.0,1.0
DEP-REL-CHG::root→flat::None::None::None,flat,50,1.0,1.0
TED-RTED::20→20::None::None::None,20,50,1.0,1.0
DEP-REL-CHG::obl→obj::None::None::None::None,obj,50,1.0,1.0
DEP-REL-CHG::obl→obj::None::None::None::None::None::None::None::None::None::None,obj,50,1.0,1.0
DEP-REL-CHG::punct→nmod::None::None::None,nmod,50,1.0,1.0
DEP-REL-CHG::case→nummod::None::None::None,nummod,50,1.0,1.0
TED-RTED::14→14::None::None::None::None,14,50,1.0,1.0
TED-RTED::14→14::None::None::None::None::None::None::None::None::None::None,14,50,1.0,1.0
DEP-REL-CHG::nsubj→punct::None::None::None::None,punct,49,1.0,1.0
DEP-REL-CHG::nsubj→punct::None::None::None::None::None::None::None::None::None::None,punct,49,1.0,1.0
CLAUSE-TYPE-CHG::verbless→verbal::None::None::None::None,verbal,49,1.0,1.0
CLAUSE-TYPE-CHG::verbless→verbal::None::None::None::None::None::None::None::None::None::None,verbal,49,1.0,1.0
TED-ZHANG-SHASHA::12→12::None::None::None::None,12,49,1.0,1.0
TED-ZHANG-SHASHA::12→12::None::None::None::None::None::None::None::None::None::None,12,49,1.0,1.0
DEP-REL-CHG::compound→aux:pass::None::None::None,aux:pass,48,1.0,1.0
TED-ZHANG-SHASHA::6→6::None::None::None::None,6,48,1.0,1.0
TED-ZHANG-SHASHA::6→6::None::None::None::None::None::None::None::None::None::None,6,48,1.0,1.0
HEAD-CHG::4→5::None::None::None,5,48,1.0,1.0
TED-RTED::5→5::None::None::None,5,48,1.0,1.0
DEP-REL-CHG::mark→obj::None::None::None,obj,48,1.0,1.0
TED-RTED::6→6::None::None::None::None,6,47,1.0,1.0
TED-RTED::6→6::None::None::None::None::None::None::None::None::None::None,6,47,1.0,1.0
DEP-REL-CHG::nmod:poss→root::None::None::None,root,46,1.0,1.0
TED-RTED::25→25::None::None::None,25,46,1.0,1.0
DEP-REL-CHG::case→ccomp::None::None::None,ccomp,46,1.0,1.0
DEP-REL-CHG::compound→nmod:poss::None::None::None,nmod:poss,46,1.0,1.0
FEAT-CHG::Tense=Pres→Tense=Past::None::None::None::None,Tense=Past,46,1.0,1.0
FEAT-CHG::Tense=Pres→Tense=Past::None::None::None::None::None::None::None::None::None::None,Tense=Past,46,1.0,1.0
DEP-REL-CHG::det→case::None::None::None,case,46,1.0,1.0
DEP-REL-CHG::obj→mark::None::None::None::None,mark,46,1.0,1.0
DEP-REL-CHG::obj→mark::None::None::None::None::None::None::None::None::None::None,mark,46,1.0,1.0
TED-KLEIN::19→19::None::None::None,19,46,1.0,1.0
TED-KLEIN::22→22::None::None::None,22,46,1.0,1.0
TED-RTED::21→21::None::None::None,21,46,1.0,1.0
DEP-REL-CHG::case→nmod::None::None::None::None,nmod,46,1.0,1.0
DEP-REL-CHG::case→nmod::None::None::None::None::None::None::None::None::None::None,nmod,46,1.0,1.0
LENGTH-CHG::10→12::None::None::None,12,44,1.0,1.0
CONST-ADD::ADVP-ADD→ABSENT::None::None::None,ABSENT,44,1.0,1.0
TED-RTED::19→19::None::None::None::None,19,44,1.0,1.0
TED-RTED::19→19::None::None::None::None::None::None::None::None::None::None,19,44,1.0,1.0
LENGTH-CHG::12→17::None::None::None,17,44,1.0,1.0
TED-RTED::29→29::None::None::None,29,44,1.0,1.0
DEP-REL-CHG::nummod→root::None::None::None::None,root,44,1.0,1.0
DEP-REL-CHG::nummod→root::None::None::None::None::None::None::None::None::None::None,root,44,1.0,1.0
DEP-REL-CHG::obj→nummod::None::None::None,nummod,44,1.0,1.0
CONST-ADD::ADJP-ADD→ABSENT::None::None::None::None,ABSENT,44,1.0,1.0
CONST-ADD::ADJP-ADD→ABSENT::None::None::None::None::None::None::None::None::None::None,ABSENT,44,1.0,1.0
DEP-REL-CHG::parataxis→punct::None::None::None,punct,44,1.0,1.0
DEP-REL-CHG::mark→root::None::None::None::None,root,43,1.0,1.0
DEP-REL-CHG::mark→root::None::None::None::None::None::None::None::None::None::None,root,43,1.0,1.0
TED-ZHANG-SHASHA::13→13::None::None::None::None,13,43,1.0,1.0
TED-ZHANG-SHASHA::13→13::None::None::None::None::None::None::None::None::None::None,13,43,1.0,1.0
DEP-REL-CHG::mark→nsubj::None::None::None::None,nsubj,42,1.0,1.0
DEP-REL-CHG::mark→nsubj::None::None::None::None::None::None::None::None::None::None,nsubj,42,1.0,1.0
DEP-REL-CHG::advmod→nsubj::None::None::None,nsubj,42,1.0,1.0
DEP-REL-CHG::flat→nsubj::None::None::None,nsubj,42,1.0,1.0
TED-RTED::24→24::None::None::None,24,42,1.0,1.0
HEAD-CHG::5→6::None::None::None,6,42,1.0,1.0
LENGTH-CHG::9→11::None::None::None,11,42,1.0,1.0
TED-ZHANG-SHASHA::5→5::None::None::None,5,42,1.0,1.0
DEP-REL-CHG::compound→aux::None::None::None::None,aux,42,1.0,1.0
DEP-REL-CHG::compound→aux::None::None::None::None::None::None::None::None::None::None,aux,42,1.0,1.0
LENGTH-CHG::10→15::None::None::None,15,42,1.0,1.0
DEP-REL-CHG::compound→obl::None::None::None::None,obl,42,1.0,1.0
DEP-REL-CHG::compound→obl::None::None::None::None::None::None::None::None::None::None,obl,42,1.0,1.0
LENGTH-CHG::11→13::None::None::None,13,42,1.0,1.0
DEP-REL-CHG::amod→obj::None::None::None,obj,42,1.0,1.0
LENGTH-CHG::14→18::None::None::None,18,42,1.0,1.0
DEP-REL-CHG::punct→obj::None::None::None::None,obj,42,1.0,1.0
DEP-REL-CHG::punct→obj::None::None::None::None::None::None::None::None::None::None,obj,42,1.0,1.0
HEAD-CHG::3→4::None::None::None::None,4,42,1.0,1.0
HEAD-CHG::3→4::None::None::None::None::None::None::None::None::None::None,4,42,1.0,1.0
DEP-REL-CHG::aux:pass→nsubj:pass::None::None::None,nsubj:pass,42,1.0,1.0
POS-CHG::VERB→NOUN::None::None::None,NOUN,42,1.0,1.0
DEP-REL-CHG::obj→nsubj::None::None::None::None,nsubj,41,1.0,1.0
DEP-REL-CHG::obj→nsubj::None::None::None::None::None::None::None::None::None::None,nsubj,41,1.0,1.0
POS-CHG::NOUN→VERB::None::None::None::None,VERB,41,1.0,1.0
POS-CHG::NOUN→VERB::None::None::None::None::None::None::None::None::None::None,VERB,41,1.0,1.0
DEP-REL-CHG::obj→punct::None::None::None::None,punct,41,1.0,1.0
DEP-REL-CHG::obj→punct::None::None::None::None::None::None::None::None::None::None,punct,41,1.0,1.0
DEP-REL-CHG::flat→case::None::None::None,case,40,1.0,1.0
TED-ZHANG-SHASHA::9→9::None::None::None::None,9,40,1.0,1.0
TED-ZHANG-SHASHA::9→9::None::None::None::None::None::None::None::None::None::None,9,40,1.0,1.0
DEP-REL-CHG::advcl→obj::None::None::None,obj,40,1.0,1.0
DEP-REL-CHG::case→cop::None::None::None,cop,40,1.0,1.0
DEP-REL-CHG::case→acl::None::None::None,acl,40,1.0,1.0
DEP-REL-CHG::case→flat::None::None::None,flat,40,1.0,1.0
CONST-REM::ABSENT→VP-REM::None::None::None::None,VP-REM,40,1.0,1.0
CONST-REM::ABSENT→VP-REM::None::None::None::None::None::None::None::None::None::None,VP-REM,40,1.0,1.0
DEP-REL-CHG::nmod→punct::None::None::None,punct,40,1.0,1.0
DEP-REL-CHG::parataxis→nsubj::None::None::None,nsubj,40,1.0,1.0
DEP-REL-CHG::flat→obj::None::None::None,obj,40,1.0,1.0
CONST-ADD::SBAR-ADD→ABSENT::None::None::None::None,ABSENT,40,1.0,1.0
CONST-ADD::SBAR-ADD→ABSENT::None::None::None::None::None::None::None::None::None::None,ABSENT,40,1.0,1.0
TED-ZHANG-SHASHA::4→4::None::None::None,4,40,1.0,1.0
TED-RTED::4→4::None::None::None,4,40,1.0,1.0
DEP-REL-CHG::advcl→mark::None::None::None::None,mark,39,1.0,1.0
DEP-REL-CHG::advcl→mark::None::None::None::None::None::None::None::None::None::None,mark,39,1.0,1.0
DEP-REL-CHG::obj→amod::None::None::None::None,amod,39,1.0,1.0
DEP-REL-CHG::obj→amod::None::None::None::None::None::None::None::None::None::None,amod,39,1.0,1.0
LENGTH-CHG::10→13::None::None::None::None,13,39,1.0,1.0
LENGTH-CHG::10→13::None::None::None::None::None::None::None::None::None::None,13,39,1.0,1.0
TED-KLEIN::15→15::None::None::None::None,15,39,1.0,1.0
TED-KLEIN::15→15::None::None::None::None::None::None::None::None::None::None,15,39,1.0,1.0
TED-RTED::9→9::None::None::None::None,9,39,1.0,1.0
TED-RTED::9→9::None::None::None::None::None::None::None::None::None::None,9,39,1.0,1.0
LENGTH-CHG::12→16::None::None::None::None,16,39,1.0,1.0
LENGTH-CHG::12→16::None::None::None::None::None::None::None::None::None::None,16,39,1.0,1.0
TED-RTED::26→26::None::None::None,26,38,1.0,1.0
TED-KLEIN::11→11::None::None::None,11,38,1.0,1.0
DEP-REL-CHG::case→mark::None::None::None::None,mark,38,1.0,1.0
DEP-REL-CHG::case→mark::None::None::None::None::None::None::None::None::None::None,mark,38,1.0,1.0
TED-RTED::18→18::None::None::None::None,18,38,1.0,1.0
TED-RTED::18→18::None::None::None::None::None::None::None::None::None::None,18,38,1.0,1.0
TED-KLEIN::13→13::None::None::None::None,13,38,1.0,1.0
TED-KLEIN::13→13::None::None::None::None::None::None::None::None::None::None,13,38,1.0,1.0
DEP-REL-CHG::obl→xcomp::None::None::None,xcomp,38,1.0,1.0
TED-RTED::28→28::None::None::None,28,38,1.0,1.0
DEP-REL-CHG::flat→punct::None::None::None,punct,38,1.0,1.0
DEP-REL-CHG::mark→case::None::None::None,case,38,1.0,1.0
TED-ZHANG-SHASHA::14→14::None::None::None::None,14,38,1.0,1.0
TED-ZHANG-SHASHA::14→14::None::None::None::None::None::None::None::None::None::None,14,38,1.0,1.0
DEP-REL-CHG::punct→aux::None::None::None,aux,38,1.0,1.0
TED-KLEIN::4→4::None::None::None,4,38,1.0,1.0
DEP-REL-CHG::punct→mark::None::None::None,mark,38,1.0,1.0
DEP-REL-CHG::appos→punct::None::None::None::None,punct,38,1.0,1.0
DEP-REL-CHG::appos→punct::None::None::None::None::None::None::None::None::None::None,punct,38,1.0,1.0
TED-RTED::17→17::None::None::None::None,17,37,1.0,1.0
TED-RTED::17→17::None::None::None::None::None::None::None::None::None::None,17,37,1.0,1.0
LENGTH-CHG::11→15::None::None::None::None,15,37,1.0,1.0
LENGTH-CHG::11→15::None::None::None::None::None::None::None::None::None::None,15,37,1.0,1.0
DEP-REL-CHG::root→punct::None::None::None::None,punct,37,1.0,1.0
DEP-REL-CHG::root→punct::None::None::None::None::None::None::None::None::None::None,punct,37,1.0,1.0
DEP-REL-CHG::nmod→obj::None::None::None::None,obj,37,1.0,1.0
DEP-REL-CHG::nmod→obj::None::None::None::None::None::None::None::None::None::None,obj,37,1.0,1.0
DEP-REL-CHG::compound→nummod::None::None::None::None,nummod,37,1.0,1.0
DEP-REL-CHG::compound→nummod::None::None::None::None::None::None::None::None::None::None,nummod,37,1.0,1.0
DEP-REL-CHG::punct→root::None::None::None::None,root,37,1.0,1.0
DEP-REL-CHG::punct→root::None::None::None::None::None::None::None::None::None::None,root,37,1.0,1.0
DEP-REL-CHG::nsubj→case::None::None::None::None,case,36,1.0,1.0
DEP-REL-CHG::nsubj→case::None::None::None::None::None::None::None::None::None::None,case,36,1.0,1.0
LENGTH-CHG::13→15::None::None::None,15,36,1.0,1.0
DEP-REL-CHG::nsubj→nsubj:pass::None::None::None::None,nsubj:pass,36,1.0,1.0
DEP-REL-CHG::nsubj→nsubj:pass::None::None::None::None::None::None::None::None::None::None,nsubj:pass,36,1.0,1.0
LENGTH-CHG::9→13::None::None::None,13,36,1.0,1.0
DEP-REL-CHG::compound→obj::None::None::None::None,obj,36,1.0,1.0
DEP-REL-CHG::compound→obj::None::None::None::None::None::None::None::None::None::None,obj,36,1.0,1.0
DEP-REL-CHG::obj→case::None::None::None,case,36,1.0,1.0
TED-KLEIN::9→9::None::None::None,9,36,1.0,1.0
DEP-REL-CHG::obj→conj::None::None::None,conj,36,1.0,1.0
LENGTH-CHG::14→17::None::None::None,17,36,1.0,1.0
DEP-REL-CHG::parataxis→det::None::None::None,det,36,1.0,1.0
LENGTH-CHG::11→14::None::None::None::None,14,35,1.0,1.0
LENGTH-CHG::11→14::None::None::None::None::None::None::None::None::None::None,14,35,1.0,1.0
DEP-REL-CHG::nmod→obl::None::None::None::None,obl,35,1.0,1.0
DEP-REL-CHG::nmod→obl::None::None::None::None::None::None::None::None::None::None,obl,35,1.0,1.0
TED-ZHANG-SHASHA::7→7::None::None::None::None,7,35,1.0,1.0
TED-ZHANG-SHASHA::7→7::None::None::None::None::None::None::None::None::None::None,7,35,1.0,1.0
FW-ADD::PRON-PERS-ADD→ABSENT::None::None::None::None,ABSENT,35,1.0,1.0
FW-ADD::PRON-PERS-ADD→ABSENT::None::None::None::None::None::None::None::None::None::None,ABSENT,35,1.0,1.0
DEP-REL-CHG::compound→ccomp::None::None::None,ccomp,34,1.0,1.0
DEP-REL-CHG::advmod→punct::None::None::None,punct,34,1.0,1.0
DEP-REL-CHG::aux→nsubj::None::None::None::None,nsubj,34,1.0,1.0
DEP-REL-CHG::aux→nsubj::None::None::None::None::None::None::None::None::None::None,nsubj,34,1.0,1.0
DEP-REL-CHG::amod→mark::None::None::None,mark,34,1.0,1.0
CONST-REM::ABSENT→PP-REM::None::None::None::None,PP-REM,34,1.0,1.0
CONST-REM::ABSENT→PP-REM::None::None::None::None::None::None::None::None::None::None,PP-REM,34,1.0,1.0
DEP-REL-CHG::root→aux:pass::None::None::None::None,aux:pass,34,1.0,1.0
DEP-REL-CHG::root→aux:pass::None::None::None::None::None::None::None::None::None::None,aux:pass,34,1.0,1.0
FW-ADD::AUX-ADD→ABSENT::None::None::None::None,ABSENT,34,1.0,1.0
FW-ADD::AUX-ADD→ABSENT::None::None::None::None::None::None::None::None::None::None,ABSENT,34,1.0,1.0
DEP-REL-CHG::acl→aux::None::None::None::None,aux,34,1.0,1.0
DEP-REL-CHG::acl→aux::None::None::None::None::None::None::None::None::None::None,aux,34,1.0,1.0
DEP-REL-CHG::flat→root::None::None::None,root,34,1.0,1.0
DEP-REL-CHG::case→advcl::None::None::None,advcl,34,1.0,1.0
DEP-REL-CHG::nummod→case::None::None::None::None,case,34,1.0,1.0
DEP-REL-CHG::nummod→case::None::None::None::None::None::None::None::None::None::None,case,34,1.0,1.0
LENGTH-CHG::8→12::None::None::None,12,34,1.0,1.0
DEP-REL-CHG::root→nmod::None::None::None,nmod,34,1.0,1.0
DEP-REL-CHG::obl→amod::None::None::None::None,amod,33,1.0,1.0
DEP-REL-CHG::obl→amod::None::None::None::None::None::None::None::None::None::None,amod,33,1.0,1.0
TED-RTED::7→7::None::None::None::None,7,33,1.0,1.0
TED-RTED::7→7::None::None::None::None::None::None::None::None::None::None,7,33,1.0,1.0
DEP-REL-CHG::nmod→amod::None::None::None::None,amod,33,1.0,1.0
DEP-REL-CHG::nmod→amod::None::None::None::None::None::None::None::None::None::None,amod,33,1.0,1.0
TED-ZHANG-SHASHA::16→16::None::None::None::None,16,33,1.0,1.0
TED-ZHANG-SHASHA::16→16::None::None::None::None::None::None::None::None::None::None,16,33,1.0,1.0
TED-KLEIN::20→20::None::None::None::None,20,33,1.0,1.0
TED-KLEIN::20→20::None::None::None::None::None::None::None::None::None::None,20,33,1.0,1.0
DEP-REL-CHG::advmod→det::None::None::None,det,32,1.0,1.0
TED-ZHANG-SHASHA::17→17::None::None::None::None,17,32,1.0,1.0
TED-ZHANG-SHASHA::17→17::None::None::None::None::None::None::None::None::None::None,17,32,1.0,1.0
DEP-REL-CHG::compound→mark::None::None::None::None,mark,32,1.0,1.0
DEP-REL-CHG::compound→mark::None::None::None::None::None::None::None::None::None::None,mark,32,1.0,1.0
DEP-REL-CHG::case→conj::None::None::None,conj,32,1.0,1.0
DEP-REL-CHG::nummod→compound::None::None::None,compound,32,1.0,1.0
DEP-REL-CHG::amod→compound::None::None::None::None,compound,32,1.0,1.0
DEP-REL-CHG::amod→compound::None::None::None::None::None::None::None::None::None::None,compound,32,1.0,1.0
DEP-REL-CHG::acl→nsubj:pass::None::None::None,nsubj:pass,32,1.0,1.0
LENGTH-CHG::8→11::None::None::None,11,32,1.0,1.0
TED-KLEIN::5→5::None::None::None,5,32,1.0,1.0
DEP-REL-CHG::acl→compound::None::None::None,compound,32,1.0,1.0
DEP-REL-CHG::compound→xcomp::None::None::None,xcomp,32,1.0,1.0
TED-ZHANG-SHASHA::19→19::None::None::None::None,19,32,1.0,1.0
TED-ZHANG-SHASHA::19→19::None::None::None::None::None::None::None::None::None::None,19,32,1.0,1.0
DEP-REL-CHG::amod→nsubj::None::None::None::None,nsubj,32,1.0,1.0
DEP-REL-CHG::amod→nsubj::None::None::None::None::None::None::None::None::None::None,nsubj,32,1.0,1.0
DEP-REL-CHG::mark→det::None::None::None,det,32,1.0,1.0
LENGTH-CHG::13→19::None::None::None,19,32,1.0,1.0
DEP-REL-CHG::obj→advcl::None::None::None::None,advcl,32,1.0,1.0
DEP-REL-CHG::obj→advcl::None::None::None::None::None::None::None::None::None::None,advcl,32,1.0,1.0
DEP-REL-CHG::compound→advcl::None::None::None,advcl,32,1.0,1.0
TED-RTED::30→30::None::None::None,30,32,1.0,1.0
DEP-REL-CHG::xcomp→mark::None::None::None,mark,32,1.0,1.0
TED-KLEIN::6→6::None::None::None,6,32,1.0,1.0
DEP-REL-CHG::nsubj:pass→compound::None::None::None,compound,32,1.0,1.0
DEP-REL-CHG::parataxis→compound::None::None::None,compound,32,1.0,1.0
DEP-REL-CHG::nmod:poss→compound::None::None::None,compound,32,1.0,1.0
TED-RTED::22→22::None::None::None::None,22,31,1.0,1.0
TED-RTED::22→22::None::None::None::None::None::None::None::None::None::None,22,31,1.0,1.0
DEP-REL-CHG::xcomp→root::None::None::None::None,root,31,1.0,1.0
DEP-REL-CHG::xcomp→root::None::None::None::None::None::None::None::None::None::None,root,31,1.0,1.0
TED-RTED::23→23::None::None::None::None,23,31,1.0,1.0
TED-RTED::23→23::None::None::None::None::None::None::None::None::None::None,23,31,1.0,1.0
DEP-REL-CHG::acl→root::None::None::None::None,root,31,1.0,1.0
DEP-REL-CHG::acl→root::None::None::None::None::None::None::None::None::None::None,root,31,1.0,1.0
TED-ZHANG-SHASHA::18→18::None::None::None::None,18,31,1.0,1.0
TED-ZHANG-SHASHA::18→18::None::None::None::None::None::None::None::None::None::None,18,31,1.0,1.0
DEP-REL-CHG::obj→ccomp::None::None::None,ccomp,30,1.0,1.0
DEP-REL-CHG::obj→advmod::None::None::None,advmod,30,1.0,1.0
TED-KLEIN::7→7::None::None::None,7,30,1.0,1.0
DEP-REL-CHG::root→amod::None::None::None::None,amod,30,1.0,1.0
DEP-REL-CHG::root→amod::None::None::None::None::None::None::None::None::None::None,amod,30,1.0,1.0
TED-ZHANG-SHASHA::25→25::None::None::None,25,30,1.0,1.0
TED-ZHANG-SHASHA::22→22::None::None::None,22,30,1.0,1.0
DEP-REL-CHG::nmod:poss→nsubj::None::None::None,nsubj,30,1.0,1.0
DEP-REL-CHG::obl→punct::None::None::None::None,punct,30,1.0,1.0
DEP-REL-CHG::obl→punct::None::None::None::None::None::None::None::None::None::None,punct,30,1.0,1.0
TED-ZHANG-SHASHA::26→26::None::None::None,26,30,1.0,1.0
DEP-REL-CHG::det→root::None::None::None::None,root,30,1.0,1.0
DEP-REL-CHG::det→root::None::None::None::None::None::None::None::None::None::None,root,30,1.0,1.0
DEP-REL-CHG::nsubj:pass→det::None::None::None,det,30,1.0,1.0
DEP-REL-CHG::nsubj→obl::None::None::None,obl,30,1.0,1.0
DEP-REL-CHG::amod→aux::None::None::None,aux,30,1.0,1.0
LENGTH-CHG::14→16::None::None::None,16,30,1.0,1.0
DEP-REL-CHG::nummod→det::None::None::None::None,det,30,1.0,1.0
DEP-REL-CHG::nummod→det::None::None::None::None::None::None::None::None::None::None,det,30,1.0,1.0
DEP-REL-CHG::obl→nmod:poss::None::None::None,nmod:poss,30,1.0,1.0
DEP-REL-CHG::advcl→nsubj::None::None::None,nsubj,30,1.0,1.0
DEP-REL-CHG::obl→nummod::None::None::None,nummod,30,1.0,1.0
DEP-REL-CHG::advcl→aux:pass::None::None::None,aux:pass,30,1.0,1.0
DEP-REL-CHG::nummod→obj::None::None::None,obj,30,1.0,1.0
LENGTH-CHG::7→10::None::None::None,10,30,1.0,1.0
LENGTH-CHG::13→17::None::None::None::None,17,29,1.0,1.0
LENGTH-CHG::13→17::None::None::None::None::None::None::None::None::None::None,17,29,1.0,1.0
DEP-REL-CHG::nsubj→root::None::None::None::None,root,29,1.0,1.0
DEP-REL-CHG::nsubj→root::None::None::None::None::None::None::None::None::None::None,root,29,1.0,1.0
DEP-REL-CHG::nmod:poss→det::None::None::None::None,det,29,1.0,1.0
DEP-REL-CHG::nmod:poss→det::None::None::None::None::None::None::None::None::None::None,det,29,1.0,1.0
DEP-REL-CHG::conj→obj::None::None::None,obj,28,1.0,1.0
DEP-REL-CHG::amod→advcl::None::None::None,advcl,28,1.0,1.0
DEP-REL-CHG::obj→nmod:poss::None::None::None,nmod:poss,28,1.0,1.0
DEP-REL-CHG::case→cc::None::None::None::None,cc,28,1.0,1.0
DEP-REL-CHG::case→cc::None::None::None::None::None::None::None::None::None::None,cc,28,1.0,1.0
LENGTH-CHG::12→14::None::None::None::None,14,28,1.0,1.0
LENGTH-CHG::12→14::None::None::None::None::None::None::None::None::None::None,14,28,1.0,1.0
DEP-REL-CHG::nsubj→flat::None::None::None,flat,28,1.0,1.0
DEP-REL-CHG::nsubj→mark::None::None::None::None,mark,28,1.0,1.0
DEP-REL-CHG::nsubj→mark::None::None::None::None::None::None::None::None::None::None,mark,28,1.0,1.0
TED-ZHANG-SHASHA::20→20::None::None::None::None,20,28,1.0,1.0
TED-ZHANG-SHASHA::20→20::None::None::None::None::None::None::None::None::None::None,20,28,1.0,1.0
TED-KLEIN::17→17::None::None::None::None,17,28,1.0,1.0
TED-KLEIN::17→17::None::None::None::None::None::None::None::None::None::None,17,28,1.0,1.0
DEP-REL-CHG::xcomp→aux:pass::None::None::None,aux:pass,28,1.0,1.0
LENGTH-CHG::12→15::None::None::None::None,15,28,1.0,1.0
LENGTH-CHG::12→15::None::None::None::None::None::None::None::None::None::None,15,28,1.0,1.0
CONST-ADD::PP-ADD→ABSENT::None::None::None,ABSENT,28,1.0,1.0
DEP-REL-CHG::root→mark::None::None::None,mark,28,1.0,1.0
TED-ZHANG-SHASHA::23→23::None::None::None,23,28,1.0,1.0
TED-RTED::27→27::None::None::None,27,28,1.0,1.0
DEP-REL-CHG::case→xcomp::None::None::None::None,xcomp,28,1.0,1.0
DEP-REL-CHG::case→xcomp::None::None::None::None::None::None::None::None::None::None,xcomp,28,1.0,1.0
DEP-REL-CHG::mark→compound::None::None::None,compound,28,1.0,1.0
DEP-REL-CHG::nmod→nmod:poss::None::None::None,nmod:poss,28,1.0,1.0
LENGTH-CHG::13→16::None::None::None::None,16,28,1.0,1.0
LENGTH-CHG::13→16::None::None::None::None::None::None::None::None::None::None,16,28,1.0,1.0
DEP-REL-CHG::obl→aux:pass::None::None::None::None,aux:pass,28,1.0,1.0
DEP-REL-CHG::obl→aux:pass::None::None::None::None::None::None::None::None::None::None,aux:pass,28,1.0,1.0
DEP-REL-CHG::compound→nmod::None::None::None,nmod,28,1.0,1.0
DEP-REL-CHG::nmod→root::None::None::None,root,28,1.0,1.0
DEP-REL-CHG::punct→ccomp::None::None::None,ccomp,28,1.0,1.0
DEP-REL-CHG::nummod→aux::None::None::None,aux,28,1.0,1.0
DEP-REL-CHG::conj→cc::None::None::None::None,cc,28,1.0,1.0
DEP-REL-CHG::conj→cc::None::None::None::None::None::None::None::None::None::None,cc,28,1.0,1.0
HEAD-CHG::9→10::None::None::None,10,28,1.0,1.0
DEP-REL-CHG::mark→nsubj:pass::None::None::None,nsubj:pass,28,1.0,1.0
DEP-REL-CHG::appos→compound::None::None::None,compound,28,1.0,1.0
TED-KLEIN::25→25::None::None::None,25,28,1.0,1.0
DEP-REL-CHG::nmod→nummod::None::None::None,nummod,28,1.0,1.0
LENGTH-CHG::11→16::None::None::None::None,16,27,1.0,1.0
LENGTH-CHG::11→16::None::None::None::None::None::None::None::None::None::None,16,27,1.0,1.0
DEP-REL-CHG::punct→amod::None::None::None::None,amod,27,1.0,1.0
DEP-REL-CHG::punct→amod::None::None::None::None::None::None::None::None::None::None,amod,27,1.0,1.0
DEP-REL-CHG::advmod→root::None::None::None::None,root,27,1.0,1.0
DEP-REL-CHG::advmod→root::None::None::None::None::None::None::None::None::None::None,root,27,1.0,1.0
DEP-REL-CHG::nmod:poss→case::None::None::None::None,case,27,1.0,1.0
DEP-REL-CHG::nmod:poss→case::None::None::None::None::None::None::None::None::None::None,case,27,1.0,1.0
LENGTH-CHG::9→12::None::None::None::None,12,27,1.0,1.0
LENGTH-CHG::9→12::None::None::None::None::None::None::None::None::None::None,12,27,1.0,1.0
DEP-REL-CHG::punct→nummod::None::None::None::None,nummod,27,1.0,1.0
DEP-REL-CHG::punct→nummod::None::None::None::None::None::None::None::None::None::None,nummod,27,1.0,1.0
DEP-REL-CHG::advmod→aux::None::None::None,aux,26,1.0,1.0
DEP-REL-CHG::det→nsubj::None::None::None,nsubj,26,1.0,1.0
LENGTH-CHG::15→19::None::None::None,19,26,1.0,1.0
DEP-REL-CHG::obl→nsubj::None::None::None,nsubj,26,1.0,1.0
DEP-REL-CHG::parataxis→case::None::None::None,case,26,1.0,1.0
TED-KLEIN::21→21::None::None::None::None,21,26,1.0,1.0
TED-KLEIN::21→21::None::None::None::None::None::None::None::None::None::None,21,26,1.0,1.0
TED-ZHANG-SHASHA::21→21::None::None::None::None,21,26,1.0,1.0
TED-ZHANG-SHASHA::21→21::None::None::None::None::None::None::None::None::None::None,21,26,1.0,1.0
FEAT-CHG::Number=Sing→Number=None::None::None::None,Number=None,26,1.0,1.0
