newspaper,sentence_id,parse_type,feature_id,feature_name,mnemonic,canonical_value,headline_value,canonical_context,headline_context,added_punctuation,position,context,before,after,deleted_punctuation
The-Hindu,363,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,9,9,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,8,8,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,8,8,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,8,8,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,both,H-TYPE,Headline Type,H-TYPE,,non-fragment,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,5,5,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,12,9,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,1.67,1.00,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,363,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.20,1.60,The Congress team met the Governor.,Congress team meets Governor,,,,,,
The-Hindu,364,both,H-STRUCT,Headline Structure,H-STRUCT,,micro-discourse,i. polavaram (e.g.),i. polavaram (e.g.),,,,,,
The-Hindu,364,both,H-TYPE,Headline Type,H-TYPE,,fragment,i. polavaram (e.g.),i. polavaram (e.g.),,,,,,
The-Hindu,364,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,4,4,i. polavaram (e.g.),i. polavaram (e.g.),,,,,,
The-Hindu,364,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,8,8,i. polavaram (e.g.),i. polavaram (e.g.),,,,,,
The-Hindu,364,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,1.25,1.25,i. polavaram (e.g.),i. polavaram (e.g.),,,,,,
The-Hindu,364,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.33,2.33,i. polavaram (e.g.),i. polavaram (e.g.),,,,,,
The-Hindu,365,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,FW-DEL,Function Word Deletion,FW-DEL,CCONJ-DEL,ABSENT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,C-DEL,Content Word Deletion,C-DEL,VERB-DEL,ABSENT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,nsubj,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,case,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,case,amod,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,nmod,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,amod,punct,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,cc,nsubj,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,compound,cop,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nmod,root,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,cop,case,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,obl,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,case,punct,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,obl,appos,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,17,13,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,30,30,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,28,28,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,22,22,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,both,PUNCT-ADD,Punctuation Addition,PUNCT-ADD,,colon,The suspect in a sexual assault and murder case was addicted,was addicted to porn**:** police,colon,59.0,was addicted to porn**:** police,was addicted to porn,police,
The-Hindu,365,both,PUNCT-SUBST,Punctuation Substitution,PUNCT-SUBST,and,:,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,both,H-TYPE,Headline Type,H-TYPE,,non-fragment,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,9,8,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,33,26,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,3.31,2.33,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,365,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.00,1.92,"The suspect in a sexual assault and murder case was addicted to porn, said police.","Suspect in sexual assault, murder case was addicted to porn: police",,,,,,
The-Hindu,366,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,kadapa,kadapa,,,,,,
The-Hindu,366,both,H-TYPE,Headline Type,H-TYPE,,fragment,kadapa,kadapa,,,,,,
The-Hindu,366,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,3,3,kadapa,kadapa,,,,,,
The-Hindu,366,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,3,3,kadapa,kadapa,,,,,,
The-Hindu,366,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,0.00,0.00,kadapa,kadapa,,,,,,
The-Hindu,366,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,1.00,1.00,kadapa,kadapa,,,,,,
The-Hindu,367,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,dependency,C-DEL,Content Word Deletion,C-DEL,NOUN-DEL,ABSENT,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj:pass,root,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nummod,nmod,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nmod,acl,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux,case,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux:pass,obl,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,dependency,HEAD-CHG,Dependency Head Change,HEAD-CHG,6,5,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,12,8,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Part,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,15,15,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,18,18,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,14,14,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,both,H-TYPE,Headline Type,H-TYPE,,fragment,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,8,8,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,23,17,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,2.18,1.71,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,367,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.00,1.78,Two Cameroon nationals among five people have been held for fraud.,2 Cameroon nationals among 5 held for fraud,,,,,,
The-Hindu,368,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,kollam,kollam,,,,,,
The-Hindu,368,both,H-TYPE,Headline Type,H-TYPE,,fragment,kollam,kollam,,,,,,
The-Hindu,368,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,3,3,kollam,kollam,,,,,,
The-Hindu,368,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,3,3,kollam,kollam,,,,,,
The-Hindu,368,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,0.00,0.00,kollam,kollam,,,,,,
The-Hindu,368,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,1.00,1.00,kollam,kollam,,,,,,
The-Hindu,369,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,C-DEL,Content Word Deletion,C-DEL,NOUN-DEL,ABSENT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nummod,root,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj:pass,acl,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux,case,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux:pass,compound,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,obl,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,nmod,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,12,7,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Part,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,13,13,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,13,13,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,13,13,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,both,H-TYPE,Headline Type,H-TYPE,,fragment,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,8,6,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,22,15,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,2.45,1.67,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,369,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.10,1.75,Seven people have been held under the POCSO Act in Kerala.,Seven held under POCSO Act in Kerala,,,,,,
The-Hindu,370,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,kurnool,kurnool,,,,,,
The-Hindu,370,both,H-TYPE,Headline Type,H-TYPE,,fragment,kurnool,kurnool,,,,,,
The-Hindu,370,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,3,3,kurnool,kurnool,,,,,,
The-Hindu,370,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,3,3,kurnool,kurnool,,,,,,
The-Hindu,370,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,0.00,0.00,kurnool,kurnool,,,,,,
The-Hindu,370,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,1.00,1.00,kurnool,kurnool,,,,,,
The-Hindu,371,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
The-Hindu,371,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
The-Hindu,371,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
The-Hindu,371,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,amod,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
The-Hindu,371,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,amod,nsubj,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
The-Hindu,371,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,root,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
The-Hindu,371,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux,obj,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
The-Hindu,371,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,8,4,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
The-Hindu,371,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
The-Hindu,371,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
The-Hindu,371,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Part,Fin,A former MLC has quit the TDP.,Former MLC quits TDP,,,,,,
